from,from_ctry,to,to_ctry,sp_distance,distance,duration_100kmh,duration_65kmh,border_dist,border_time,total_dist,total_time_100kmh,total_time_65kmh,rugg,pop_wpop,pop_wpop_km2,cost_km
76,COG,57,GAB,350789.405960587,423663.987003416,254.19839220205,391.074449541615,2297986.25,7923.99975,2721650.23700342,8178.19814220205,8315.07419954161,8431.3427734375,6900.72705078125,2.74976411599978,355882.635565152
132,CMR,57,GAB,371816.985079325,449059.930709526,269.435958425715,414.516859116485,2145976.5625,6124.5,2595036.49320953,6393.93595842572,6539.01685911649,21309.296875,6626.6103515625,2.46045396578114,395060.363414748
85,CMR,62,CMR,35096.1833790301,42387.2235771953,25.4323341463172,39.126667917411,0,0,42387.2235771953,25.4323341463172,39.126667917411,6473.880859375,6029.83544921875,24.5185434566333,453005.797783365
66,CMR,65,CMR,136191.319434907,164484.321380935,98.6905928285609,151.831681274709,0,0,164484.321380935,98.6905928285609,151.831681274709,5602.13037109375,14062.78515625,15.0018571545533,383323.744131923
132,CMR,66,CMR,285119.174192095,344351.123656558,206.610674193935,317.862575682977,0,0,344351.123656558,206.610674193935,317.862575682977,21421.26171875,17620.06640625,8.54148504852827,430901.113655381
96,CMR,70,CMR,197581.268129653,238627.696249199,143.176617749519,220.271719614645,0,0,238627.696249199,143.176617749519,220.271719614645,29032.505859375,10766.388671875,8.08454736457249,445052.019101948
96,CMR,75,CMR,168541.968687758,203555.641129262,122.133384677557,187.89751488855,0,0,203555.641129262,122.133384677557,187.89751488855,37621.59765625,24454.578125,21.4732310111644,495852.937108356
79,COG,77,GAB,300413.322291627,362822.547398461,217.693528439077,334.913120675502,2297986.25,7923.99975,2660808.79739846,8141.69327843908,8258.9128706755,17555.275390625,42204.22265625,18.9143372154702,447885.361600876
112,COG,77,GAB,312923.01566637,377931.061171335,226.758636702801,348.859441081233,2297986.25,7923.99975,2675917.31117134,8150.7583867028,8272.85919108123,19426.373046875,13858.3115234375,6.09224134650408,415271.816864519
108,CMR,80,CMR,179817.670751888,217173.808643958,130.304285186375,200.468131055962,0,0,217173.808643958,130.304285186375,200.468131055962,81535,62349.03125,51.0564789521926,584346.570070453
101,CMR,82,NGA,105088.98425278,126920.646125996,76.1523876755974,117.157519500919,1944034.6875,7592.57175,2070955.333626,7668.7241376756,7709.72926950092,210140.546875,173202.78125,244.567133858879,746920.718889458
97,CMR,89,CMR,140725.619649969,169960.59767304,101.976358603824,156.886705544344,0,0,169960.59767304,101.976358603824,156.886705544344,31197.1171875,101449.8984375,104.822487573731,553084.790618437
142,CAF,92,CMR,157377.929690872,190072.33407348,114.043400444088,175.451385298596,1591690.84375,6711.85725,1781763.17782348,6825.90065044409,6887.3086352986,37084.8125,37921.078125,35.4753959318458,515801.243494313
122,TCD,95,TCD,125321.64716306,151356.53412778,90.813920476668,139.713723810259,0,0,151356.53412778,90.813920476668,139.713723810259,20264.33984375,39261.98828125,45.4279644562609,489658.18441759
114,CMR,96,CMR,103892.528803483,125475.633599083,75.28538015945,115.823661783769,0,0,125475.633599083,75.28538015945,115.823661783769,13373.9267578125,14493.6630859375,20.4590895252914,436261.497401245
102,TCD,101,CMR,99313.4119756576,119945.230287962,71.9671381727771,110.718674111965,1723632.8125,7621.5,1843578.04278796,7693.46713817278,7732.21867411197,13377.4453125,48383.61328125,72.5065350087195,484408.038029573
107,CMR,102,TCD,94164.4195683639,113726.562861701,68.2359377170208,104.978365718494,1723632.8125,7621.5,1837359.3753617,7689.73593771702,7726.47836571849,29952.552734375,56440.0859375,89.9230160603935,543335.635532754
129,TCD,104,CMR,149003.108745117,179957.68986807,107.974613920842,166.114790647449,1723632.8125,7621.5,1903590.50236807,7729.47461392084,7787.61479064745,7656.93359375,50779.578125,50.5074133210009,439546.034858986
114,CMR,113,CMR,32786.1444726081,39597.2867187894,23.7583720312736,36.5513415865748,0,0,39597.2867187894,23.7583720312736,36.5513415865748,7615.17626953125,4875.19873046875,21.0405905236614,456201.61199536
137,CAF,136,COG,249986.309169802,301919.59802528,181.151758815168,278.695013561797,1743700.53125,8511.357,2045620.12927528,8692.50875881517,8790.0520135618,21442.365234375,23712.462890625,12.8014349424862,444687.719733592
180,CAF,136,COG,330528.276213786,399193.718335475,239.516231001285,368.486509232746,1743700.53125,8511.357,2142894.24958547,8750.87323100129,8879.84350923275,5164.63671875,38701.4921875,16.1572643481079,381857.838661443
174,CAF,137,CAF,141003.656309493,170296.394928333,102.177836957,157.196672241538,0,0,170296.394928333,102.177836957,157.196672241538,30317.82421875,19551.978515625,20.4534570997156,481271.213768337
154,TCD,143,TCD,61789.152651691,74625.5112644974,44.7753067586984,68.8850873210745,0,0,74625.5112644974,44.7753067586984,68.8850873210745,3064.55932617188,42423.24609375,101.072702110496,417378.749958872
145,CAF,144,TCD,99380.3602216807,120026.086666037,72.0156519996221,110.793310768649,1100245.53125,5864.35725,1220271.61791604,5936.37290199962,5975.15056076865,46982.96875,31332.552734375,47.0119729484513,543195.820459888
