id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,ACLED_fatalities_sqrt,N_ACLED,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,rugg,pop_wpop,pop_wpop_km2,cost_km,MA_gain_pusd,MA_gain_pusd_bc,consensus,MA_gain_pusd_cons,duration_90kmh,duration_65kmh,total_time_90kmh,total_time_65kmh,MA_per_link_90kmh,MA_per_link_90kmh_perc,MA_per_link_90kmh_bt,MA_per_link_90kmh_bt_perc,MA_gain_90kmh_pusd,MA_gain_90kmh_pusd_bt
26,57,51,217312.48337818,276271.540609805,0.655317231313274,0.15409776224482,0.676757793040151,0.044756943974722,0,8,27779513.1799677,0.0864364281067509,GAB,CMR,2145976.5625,6124.5,19185959.892014,0.0126903308707238,0.101474086826846,0.146816928333167,2422248.10310981,22729.318359375,6134.3486328125,3.94763863639513,410414.834557378,0.211586042908485,0.0214705004894444,FALSE,0.116528271698965,184.181027073203,255.01988363982,6308.6810270732,6379.51988363982,25502668839.0555,0.241332506377878,14852302406.4329,0.0160162574005307,0.541496213504906,0.0209761640730209
27,83,53,199209.773484388,253257.383881097,0.655503049356806,0.182496891107431,0.6774464318327,0.14655806297359,29.7766303576409,57,27792321.1504416,0.132582093594213,CMR,NGA,1944034.6875,7592.57175,19202909.8139794,0.10104698887472,0.526765740580154,0.762146577530967,2197292.0713811,136959.484375,181874.140625,133.307224821189,949533.869083004,0.153024757604642,0.0806081997667077,FALSE,0.116816478685675,168.838255920731,233.776046659474,7761.41000592073,7826.34779665948,25488316297.6429,0.18491810186485,14857191382.2899,0.0489388222268072,0.195634592754322,0.0302207451025045
28,59,54,165822.496583847,210811.803752934,0.654555658756898,0.0377043444928615,0.67647004299902,0.00221900319052892,1.60278252436139,13,27758603.8306968,0.0111024133239601,CMR,CMR,0,0,19186168.4345941,0.0137774229213239,0.857688558775612,1.24093947138419,210811.803752934,27905.111328125,9421.4365234375,8.30014796103856,488378.267980544,0.0299306081378981,0.0256711401570714,FALSE,0.0278008741474848,140.541202501956,194.595511156555,140.541202501956,194.595511156555,25454009490.7995,0.0500710372798752,14858184103.5574,0.0556238481382421,0.12372974967201,0.0802294855280916
29,76,57,350789.405960587,445962.091582543,0.655251477042607,0.144048339861347,0.676508913174005,0.00796516119379032,1.31964573645623,12,27762921.9915583,0.0266602573274266,COG,GAB,2297986.25,7923.99975,19184763.8507763,0.0064555997130844,0.167359848787038,0.242143188409635,2743948.34158254,8431.3427734375,6900.72705078125,2.74976411599978,387122.990921893,0.0428614474259428,0.00717328535999937,FALSE,0.0250173663929711,297.308061055029,411.657315306963,8221.30781105503,8335.65706530696,25444726728.0353,0.0135840125417008,14849963941.9844,0.000268941469272477,0.0200179668681075,0.000231331671652572
30,132,57,371816.985079325,472694.663904764,0.658452434549223,0.633260275289871,0.677030140476585,0.0850179256176364,0,7,27789678.5143769,0.123060975467126,CMR,GAB,2145976.5625,6124.5,19192242.502479,0.0454403615411714,0.255211619223908,0.369250782944671,2618671.22640476,21309.296875,6626.6103515625,2.46045396578114,395060.363414748,0.182905008886256,0.0466794834820247,FALSE,0.11479224618414,315.129775936509,436.33353591209,6439.62977593651,6560.83353591209,25609850391.2782,0.662622594984108,14857290118.9985,0.0496037192904364,0.902736251020058,0.0394452137349248
31,85,62,35096.1833790301,44618.1300812582,0.654391665295903,0.0126407320314659,0.676455032440268,0,0.777563217296524,14,27761543.0304373,0.0216920167512846,CMR,CMR,0,0,19189407.4962205,0.0306620233912813,0.976967007291652,1.41351649055247,44618.1300812582,6473.880859375,6029.83544921875,24.5185434566333,479828.749694867,0.281223561640388,0.27474614139571,FALSE,0.277984851518049,29.7454200541721,41.1859662288537,29.7454200541721,41.1859662288537,25456606084.9122,0.0602772653214068,14864245667.0911,0.0964426666850482,0.71629960239962,0.668953315085325
32,66,65,136191.319434907,173141.3909273,0.657238212973923,0.447687150478315,0.676777762933732,0.0477090830856231,0.305306319481857,9,27786303.5484053,0.110901355715454,CMR,CMR,0,0,19193339.357215,0.0511580526896038,0.318827789252516,0.461293303040074,173141.3909273,5602.13037109375,14062.78515625,15.0018571545533,393674.210817081,0.451594237766743,0.143980792466346,FALSE,0.297787515116544,115.427593951533,159.822822394431,115.427593951533,159.822822394431,25587655233.2408,0.57538183477579,14862569123.4236,0.0851527525614459,2.14761821868481,0.185517573207514
33,132,66,285119.174192095,362474.867006903,0.65607002775196,0.269149899610666,0.676797379811743,0.0506090360863576,0,2,27777319.4209065,0.0785325629311551,CMR,CMR,0,0,19192168.3757085,0.0450539530534977,0.396517308235269,0.573697729602864,362474.867006903,21421.26171875,17620.06640625,8.54148504852827,430901.113655381,0.139554440370024,0.0553357510478012,FALSE,0.0974450957089125,241.649911337936,334.592184929449,241.649911337936,334.592184929449,25573412212.4435,0.51939791432245,14874214438.8594,0.163572786444388,0.846025563806308,0.155517679449458
34,96,70,197581.268129653,251187.048683367,0.655456686778072,0.175411159157735,0.676536923780346,0.012105954742081,0,1,27769509.3757561,0.0503938557339767,CMR,CMR,0,0,19189573.3424933,0.0315265478671334,0.432392197180037,0.625603010683651,251187.048683367,29032.505859375,10766.388671875,8.08454736457249,445052.019101948,0.125117763779806,0.0540999447870033,FALSE,0.0896088542834048,167.458032455578,231.864968015416,167.458032455578,231.864968015416,25619331480.9243,0.699889167582479,14886460920.6351,0.246041099225636,1.59279562205467,0.326831472684828
35,96,75,168541.968687758,214269.095925539,0.654908560351586,0.0916393535631777,0.676494001997398,0.00576084961469991,2.53088743439311,12,27763237.3044124,0.0277962937915266,CMR,CMR,0,0,19188665.8925902,0.0267961874023115,0.666292816844332,0.964020153308353,214269.095925539,37621.59765625,24454.578125,21.4732310111644,562524.286257191,0.0640081806379398,0.0426481909783337,FALSE,0.0533281858081367,142.84606395036,197.786857777421,142.84606395036,197.786857777421,25456704939.6769,0.060665825961892,14859660706.6354,0.0655673540955082,0.128050742416662,0.0807813441280932
36,79,77,300413.322291627,381918.470945748,0.654493226758892,0.0281626750035846,0.6768491921184,0.0582684227671271,1.42684052292177,18,27773063.574662,0.0631992314275687,COG,GAB,2297986.25,7923.99975,19184752.6247292,0.00639708050520493,0.0699598770432393,0.101220859189348,2679904.72094575,17555.275390625,42204.22265625,18.9143372154702,489407.9189872,0.093846816691333,0.00656551175662508,FALSE,0.0502061642239791,254.612313963832,352.540127026845,8178.61206396383,8276.53987702684,25471731508.9916,0.119729578881467,14850058869.6279,0.000908188131454324,0.162966598228015,0.000721536653810802
37,112,77,312923.01566637,397822.169654037,0.654554453433374,0.0375201312839746,0.67737853189418,0.136520449937483,7.16784866802846,699,27787190.9476681,0.114098554648456,COG,GAB,2297986.25,7923.99975,19186049.2338539,0.0131560525660435,0.0796937889226401,0.115304287653581,2695808.41965404,19426.373046875,13858.3115234375,6.09224134650408,512322.260227494,0.155380795063231,0.0123828842844012,FALSE,0.0838818396738162,265.214779769358,367.220464296034,8189.21452976936,8291.22021429603,25481659070.4587,0.158751063114537,14850102411.5532,0.0012014012499284,0.198163304074589,0.000875346707833005
