city_port,population,city_country,IWI,N_IWI,wealth,gdp,SPAM_TOP80,SPAM_TOTAL,N_SPAM,ACLED_fatalities_sqrt,N_ACLED,gdp_other,iso3c,port_locode,port_name,port_status,outflows,lon,lat
FALSE,0,,24.580991601038,17,0,27473338.367812,25599.1419482335,26630.9903835506,10,0.5648348370165,1,0,COG,,,,,15.8996,1.4879199
FALSE,0,,23.9015667784341,12,0,18247036.3853016,17002.246625739,17831.8143677146,92,0.621866934812348,14,0,GAB,,,,,13.7685299,-1.60314
FALSE,24390.7586285276,makoua - COG,30.3552408659874,24,740387.353073117,35594698.2944179,0,0,0,0,0,35594698.2944179,COG,,,,,15.6253796,-0.00424
FALSE,24738.1054187109,mindouli - COG,33.7293206519724,34,834399.489989997,40114404.9529396,0,0,0,0.703876717216436,2,40114404.9529396,COG,,,,,14.3372498,-4.2444501
TRUE,398186.460856134,ngaoundere - CMR,59.6974992536809,55,23770735.9497849,1356923681.54701,199519.571730035,205175.370306287,88,5.98426670235198,15,1142796633.21762,CMR,"","","",,13.584335,7.328085
FALSE,0,,25.6535505925954,21,0,0,0,0,0,373.13638005496,566,0,NGA,,,,,13.9104395,12.0382099
FALSE,10383,mogode - CMR,31.7692183611356,55,329859.794243671,80152491.3910175,59908.1542604247,88527.2369164395,20,65.3232678468281,401,15858266.3612877,NGA,,,,,13.3954792,10.6302195
TRUE,622514.987458491,garoua - CMR,50.9486731855807,68,31716312.6491485,2066745258.07537,504987.09332955,640469.612849774,89,12.8582078661366,25,1524786417.6394,CMR,"","","",,13.397603,9.301353
TRUE,151034.590135573,franceville - GAB,58.7599373323003,42,8874783.05137593,468332067.649133,38827.2922708385,41030.8899508475,92,0.959123581769854,20,426662103.061265,GAB,"","","",,13.583221,-1.63274
FALSE,0,,30.0433837417853,30,0,186724243.720861,173986.151817179,175579.342194405,76,0.189315948392006,9,0,CMR,,,,,13.5015793,4.26088
FALSE,0,,24.2981335257613,53,0,3929136.44144911,3661.09571949496,6854.57064653336,7,615.750814564459,2472,0,NGA,,,,,13.7554197,11.4666996
TRUE,413800.878053035,maroua - CMR,54.3721883690733,73,22499259.2887875,1389053549.13414,286414.788134754,470145.20600957,91,50.2874411137124,157,1081669403.06068,CMR,"","","",,14.315781,10.591182
FALSE,0,,27.0906936732537,9,0,419184657.098061,390588.409603222,418726.515332314,94,1.76076032096313,9,0,CMR,,,,,13.7330093,8.4772596
